Rank,Title,Rating,Image_URL,Episodes,Dates
28,Kingdom 3rd Season,8.82,https://cdn.myanimelist.net/r/50x70/images/anime/1443/111830.jpg?s=a67f547ff56d05b36123d793df962b45,TV (26 eps),Apr 2020 - Oct 2021
29,Kusuriya no Hitorigoto,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1708/138033.jpg?s=d4e90b2101936cdf0002e35ebf5b556b,TV (24 eps),Oct 2023 -
30,Gintama.: Shirogane no Tamashii-hen,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/12/89603.jpg?s=635cb89402d5d39f43767f3942e91206,TV (12 eps),Jan 2018 - Mar 2018
31,The First Slam Dunk,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1745/129284.jpg?s=0a4aa56dd7a19b280e4cdd09aaad81a6,Movie (1 eps),Dec 2022 - Dec 2022
32,Vinland Saga Season 2,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1170/124312.jpg?s=ea717ad18c8bf0f21078491e981e97a1,TV (24 eps),Jan 2023 - Jun 2023
33,Bocchi the Rock!,8.80,https://cdn.myanimelist.net/r/50x70/images/anime/1448/127956.jpg?s=81e0f14a54c27c6d8046fced1a046f28,TV (12 eps),Oct 2022 - Dec 2022
34,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.79,https://cdn.myanimelist.net/r/50x70/images/anime/1670/130060.jpg?s=d6b458f3a59a4c5ae4a2ee526feb690f,Movie (1 eps),Dec 2022 - Dec 2022
35,Mob Psycho 100 II,8.79,https://cdn.myanimelist.net/r/50x70/images/anime/1918/96303.jpg?s=b5b51cff7ba201e4f1acf37f4f44e224,TV (13 eps),Jan 2019 - Apr 2019
36,Shingeki no Kyojin: The Final Season,8.79,https://cdn.myanimelist.net/r/50x70/images/anime/1000/110531.jpg?s=3df5ebb6800604dc04c6a6187dd7161b,TV (16 eps),Dec 2020 - Mar 2021
37,Kizumonogatari III: Reiketsu-hen,8.78,https://cdn.myanimelist.net/r/50x70/images/anime/1084/112813.jpg?s=db4fcf9c5e229584ca1b04bcebe2c3dc,Movie (1 eps),Jan 2017 - Jan 2017
38,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,https://cdn.myanimelist.net/r/50x70/images/anime/7/81992.jpg?s=6d977383e0b5dc1ba1c122213178e547,TV (10 eps),Oct 2016 - Dec 2016
39,Boku no Kokoro no Yabai Yatsu Season 2,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/1643/138581.jpg?s=44e3cfbc795b7cb68144fecf98b6cff0,TV (13 eps),Jan 2024 - Mar 2024
40,Hajime no Ippo,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63,TV (75 eps),Oct 2000 - Mar 2002
41,Sen to Chihiro no Kamikakushi,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927,Movie (1 eps),Jul 2001 - Jul 2001
42,Shingeki no Kyojin: The Final Season Part 2,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/1948/120625.jpg?s=53584a9c479506f8c779fb38b02d1a6d,TV (12 eps),Jan 2022 - Apr 2022
43,Kimetsu no Yaiba: Yuukaku-hen,8.76,https://cdn.myanimelist.net/r/50x70/images/anime/1908/120036.jpg?s=34065463bac342e6efe8bfdbed5d24de,TV (11 eps),Dec 2021 - Feb 2022
44,Monogatari Series: Second Season,8.76,https://cdn.myanimelist.net/r/50x70/images/anime/1807/121534.jpg?s=2f42455822fc348ba1fd6c50e94fcce1,TV (26 eps),Jul 2013 - Dec 2013
45,Cowboy Bebop,8.75,https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575,TV (26 eps),Apr 1998 - Apr 1999
46,Vinland Saga,8.75,https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b,TV (24 eps),Jul 2019 - Dec 2019
47,Kingdom 4th Season,8.74,https://cdn.myanimelist.net/r/50x70/images/anime/1566/122794.jpg?s=1dd290c4b0bc3df1083c456064109e2f,TV (26 eps),Apr 2022 - Oct 2022
48,Mushishi Zoku Shou 2nd Season,8.73,https://cdn.myanimelist.net/r/50x70/images/anime/9/68095.jpg?s=6025adedafce15a9d2c9363e225241ba,TV (10 eps),Oct 2014 - Dec 2014
49,Kingdom 5th Season,8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1050/139641.jpg?s=edc6b0cc29e6591c871151e086956ffe,TV (? eps),Jan 2024 -
50,One Piece,8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1244/138851.jpg?s=3a515a0e3bc695b2ea62db2fa26c53b3,TV (? eps),Oct 1999 -
